timestamp,open,high,low,close,volume
2024-05-31 01:00:00+00:00,68440.6640625,68604.875,68322.375,68405.9921875,3647488
2024-05-31 05:00:00+00:00,68489.3046875,68489.3046875,68295.390625,68434.9140625,116709376
2024-05-31 09:00:00+00:00,68121.9453125,68160.59375,67869.65625,67895.921875,23126016
2024-05-31 11:00:00+00:00,68278.25,68388.3359375,68259.5234375,68342.515625,45606912
2024-05-31 12:00:00+00:00,68315.4296875,68956.1484375,68296.6953125,68609.4375,488132608
2024-05-31 13:00:00+00:00,68605.0625,68755.875,68035.109375,68035.109375,244887552
2024-05-31 14:00:00+00:00,68054.4921875,68054.4921875,67293.109375,67427.5078125,991191040
2024-05-31 15:00:00+00:00,67431.25,67463.6953125,67202.5546875,67202.5546875,160720896
2024-05-31 16:00:00+00:00,67154.265625,67154.8203125,66658.6328125,67124.234375,1464696832
2024-05-31 21:00:00+00:00,67627.7890625,67630.09375,67465.359375,67531.75,14950400
2024-05-31 23:00:00+00:00,67519.796875,67550.328125,67182.609375,67489.609375,380219392
2024-06-01 00:00:00+00:00,67475.4296875,67597.6484375,67442.953125,67579.7890625,91576320
2024-06-02 02:00:00+00:00,67700.640625,67748.0625,67611.5859375,67659.5078125,33300480
2024-06-02 08:00:00+00:00,67713.078125,67755.2421875,67636.828125,67719.6484375,30701568
2024-06-02 09:00:00+00:00,67704.65625,67724.6796875,67394.65625,67455.859375,322488320
2024-06-02 10:00:00+00:00,67479.0703125,67518.5,67379.203125,67479.2109375,130213888
2024-06-02 11:00:00+00:00,67484.2578125,68217.296875,67454.375,68166.546875,721868800
2024-06-02 12:00:00+00:00,68201.578125,68212.234375,67841.3984375,67879.1171875,631123968
2024-06-02 13:00:00+00:00,67896.578125,68129.84375,67789.4765625,68118.265625,344517632
2024-06-02 14:00:00+00:00,68111.3828125,68378.796875,68026.3828125,68170.4140625,1007535104
2024-06-02 15:00:00+00:00,68197.515625,68197.515625,67986.21875,68096.9140625,219681792
2024-06-02 16:00:00+00:00,68092.5625,68147.625,67966.9375,68047.640625,159003648
2024-06-02 17:00:00+00:00,68050.3671875,68055.578125,67810.75,67866.734375,284683264
2024-06-02 18:00:00+00:00,67841.78125,67841.78125,67480.765625,67653.875,746791936
2024-06-02 19:00:00+00:00,67662.9921875,67764.3828125,67371.34375,67731.6484375,888297472
2024-06-02 20:00:00+00:00,67723.984375,67791.4375,67558.2109375,67783.9140625,152544256
2024-06-02 21:00:00+00:00,67797.890625,67864.0078125,67750.1640625,67788.0703125,77562880
2024-06-02 22:00:00+00:00,67788.875,67943.8671875,67788.875,67882.0390625,108949504
2024-06-02 23:00:00+00:00,67900.0546875,67960.078125,67752.046875,67753.8984375,127344640
2024-06-03 00:00:00+00:00,67731.765625,67826.34375,67589.8359375,67768.1640625,274590720
2024-06-03 01:00:00+00:00,67775.34375,68457.59375,67775.34375,68396.796875,940054528
2024-06-03 02:00:00+00:00,68416.765625,68733.296875,68377.875,68401.9453125,771530752
